epoch1, nmse_loss=-1.35185
epoch2, nmse_loss=-2.71829
epoch3, nmse_loss=-3.36906
epoch4, nmse_loss=-4.01836
epoch5, nmse_loss=-4.50596
epoch6, nmse_loss=-5.54512
epoch7, nmse_loss=-5.78396
epoch8, nmse_loss=-6.17430
epoch9, nmse_loss=-5.13161
epoch10, nmse_loss=-6.37616
epoch11, nmse_loss=-6.37571
epoch12, nmse_loss=-6.43501
epoch13, nmse_loss=-6.27996
epoch14, nmse_loss=-6.36468
epoch15, nmse_loss=-5.09138
epoch16, nmse_loss=-5.01256
epoch17, nmse_loss=-6.12598
epoch18, nmse_loss=-5.73858
epoch19, nmse_loss=-5.83621
epoch20, nmse_loss=-5.89116
epoch21, nmse_loss=-5.92302
epoch22, nmse_loss=-6.17909
epoch23, nmse_loss=-6.09567
epoch24, nmse_loss=-6.43847
epoch25, nmse_loss=-6.41706
epoch26, nmse_loss=-6.26645
epoch27, nmse_loss=-6.36447
epoch28, nmse_loss=-6.44011
epoch29, nmse_loss=-6.47034
epoch30, nmse_loss=-5.70303
epoch31, nmse_loss=-6.13554
epoch32, nmse_loss=-6.07766
epoch33, nmse_loss=-5.89718
epoch34, nmse_loss=-5.77911
epoch35, nmse_loss=-6.17804
epoch36, nmse_loss=-6.44006
epoch37, nmse_loss=-6.30081
epoch38, nmse_loss=-5.14144
epoch39, nmse_loss=-5.35426
epoch40, nmse_loss=-6.50468
epoch41, nmse_loss=-6.34159
epoch42, nmse_loss=-6.50528
epoch43, nmse_loss=-6.37814
epoch44, nmse_loss=-6.47110
epoch45, nmse_loss=-6.10447
epoch46, nmse_loss=-6.16895
epoch47, nmse_loss=-6.12774
epoch48, nmse_loss=-6.31092
epoch49, nmse_loss=-6.04584
epoch50, nmse_loss=-6.12846
epoch51, nmse_loss=-6.38334
epoch52, nmse_loss=-5.78906
epoch53, nmse_loss=-6.29683
epoch54, nmse_loss=-6.53122
epoch55, nmse_loss=-6.26383
epoch56, nmse_loss=-6.48100
epoch57, nmse_loss=-5.79134
epoch58, nmse_loss=-6.25787
epoch59, nmse_loss=-6.12089
epoch60, nmse_loss=-5.84514
epoch61, nmse_loss=-6.54278
epoch62, nmse_loss=-6.23266
epoch63, nmse_loss=-6.51631
epoch64, nmse_loss=-6.36135
epoch65, nmse_loss=-6.07912
epoch66, nmse_loss=-6.49237
epoch67, nmse_loss=-5.89978
epoch68, nmse_loss=-6.38982
epoch69, nmse_loss=-6.44811
epoch70, nmse_loss=-6.55927
epoch71, nmse_loss=-6.55662
epoch72, nmse_loss=-4.62371
epoch73, nmse_loss=-6.21536
epoch74, nmse_loss=-6.48287
epoch75, nmse_loss=-6.56703
epoch76, nmse_loss=-4.72060
epoch77, nmse_loss=-6.37723
epoch78, nmse_loss=-6.40298
epoch79, nmse_loss=-6.58089
epoch80, nmse_loss=-6.19749
epoch81, nmse_loss=-6.44121
epoch82, nmse_loss=-5.97689
epoch83, nmse_loss=-6.33643
epoch84, nmse_loss=-6.56594
epoch85, nmse_loss=-6.42208
epoch86, nmse_loss=-6.53254
epoch87, nmse_loss=-5.70165
epoch88, nmse_loss=-6.65134
epoch89, nmse_loss=-6.23272
epoch90, nmse_loss=-6.18439
epoch91, nmse_loss=-6.40154
epoch92, nmse_loss=-6.66798
epoch93, nmse_loss=-6.61955
epoch94, nmse_loss=-5.55513
epoch95, nmse_loss=-6.69999
epoch96, nmse_loss=-6.13385
epoch97, nmse_loss=-6.70467
epoch98, nmse_loss=-6.29604
epoch99, nmse_loss=-6.35431
epoch100, nmse_loss=-6.64629
epoch101, nmse_loss=-6.79880
epoch102, nmse_loss=-6.02560
epoch103, nmse_loss=-6.69156
epoch104, nmse_loss=-6.76422
epoch105, nmse_loss=-6.84847
epoch106, nmse_loss=-6.87702
epoch107, nmse_loss=-6.86103
epoch108, nmse_loss=-6.79857
epoch109, nmse_loss=-6.84196
epoch110, nmse_loss=-6.88403
epoch111, nmse_loss=-6.49310
epoch112, nmse_loss=-6.81775
epoch113, nmse_loss=-6.23934
epoch114, nmse_loss=-6.78647
epoch115, nmse_loss=-6.99381
epoch116, nmse_loss=-6.92123
epoch117, nmse_loss=-7.08024
epoch118, nmse_loss=-7.09935
epoch119, nmse_loss=-7.14465
epoch120, nmse_loss=-7.11420
epoch121, nmse_loss=-7.20022
epoch122, nmse_loss=-7.05522
epoch123, nmse_loss=-7.19893
epoch124, nmse_loss=-7.16661
epoch125, nmse_loss=-6.69895
epoch126, nmse_loss=-7.20883
epoch127, nmse_loss=-7.23363
epoch128, nmse_loss=-6.76293
epoch129, nmse_loss=-7.33833
epoch130, nmse_loss=-7.35662
epoch131, nmse_loss=-7.39856
epoch132, nmse_loss=-7.27653
epoch133, nmse_loss=-7.20615
epoch134, nmse_loss=-7.40140
epoch135, nmse_loss=-7.31955
epoch136, nmse_loss=-7.34750
epoch137, nmse_loss=-7.50795
epoch138, nmse_loss=-7.51677
epoch139, nmse_loss=-7.46273
epoch140, nmse_loss=-6.49654
epoch141, nmse_loss=-7.45618
epoch142, nmse_loss=-7.50878
