epoch1, nmse_loss=-4.24405
epoch2, nmse_loss=-6.05798
epoch3, nmse_loss=-7.76859
epoch4, nmse_loss=-9.41787
epoch5, nmse_loss=-11.24789
epoch6, nmse_loss=-13.15445
epoch7, nmse_loss=-14.79972
epoch8, nmse_loss=-16.30491
epoch9, nmse_loss=-18.31264
epoch10, nmse_loss=-19.64133
epoch11, nmse_loss=-20.70556
epoch12, nmse_loss=-20.55924
epoch13, nmse_loss=-22.65798
epoch14, nmse_loss=-22.95480
epoch15, nmse_loss=-22.90323
epoch16, nmse_loss=-22.96474
epoch17, nmse_loss=-23.79353
epoch18, nmse_loss=-24.39070
epoch19, nmse_loss=-24.86488
epoch20, nmse_loss=-24.95716
epoch21, nmse_loss=-25.24924
epoch22, nmse_loss=-24.83272
epoch23, nmse_loss=-25.24746
epoch24, nmse_loss=-24.11459
epoch25, nmse_loss=-24.48496
epoch26, nmse_loss=-25.14769
epoch27, nmse_loss=-25.13607
epoch28, nmse_loss=-25.72235
epoch29, nmse_loss=-25.77826
epoch30, nmse_loss=-25.01019
epoch31, nmse_loss=-24.21412
epoch32, nmse_loss=-24.39219
epoch33, nmse_loss=-27.12939
epoch34, nmse_loss=-24.83117
epoch35, nmse_loss=-24.35877
epoch36, nmse_loss=-28.06533
epoch37, nmse_loss=-28.30566
epoch38, nmse_loss=-25.85876
epoch39, nmse_loss=-28.13724
epoch40, nmse_loss=-27.02340
epoch41, nmse_loss=-26.83986
epoch42, nmse_loss=-29.09446
epoch43, nmse_loss=-28.77874
epoch44, nmse_loss=-28.42890
epoch45, nmse_loss=-29.01764
epoch46, nmse_loss=-29.78176
epoch47, nmse_loss=-30.07938
epoch48, nmse_loss=-29.73224
epoch49, nmse_loss=-30.36321
epoch50, nmse_loss=-30.39323
