epoch1, nmse_loss=-0.31802
epoch2, nmse_loss=-0.41515
epoch3, nmse_loss=-0.48524
epoch4, nmse_loss=-0.53387
epoch5, nmse_loss=-0.56755
epoch6, nmse_loss=-0.60056
epoch7, nmse_loss=-0.61909
epoch8, nmse_loss=-0.64281
epoch9, nmse_loss=-0.65774
epoch10, nmse_loss=-0.66899
epoch11, nmse_loss=-0.67777
epoch12, nmse_loss=-0.68356
epoch13, nmse_loss=-0.68842
epoch14, nmse_loss=-0.69170
epoch15, nmse_loss=-0.69240
epoch16, nmse_loss=-0.69583
epoch17, nmse_loss=-0.69686
epoch18, nmse_loss=-0.69795
epoch19, nmse_loss=-0.69817
epoch20, nmse_loss=-0.69723
epoch21, nmse_loss=-0.69880
epoch22, nmse_loss=-0.69858
epoch23, nmse_loss=-0.69981
epoch24, nmse_loss=-0.69974
epoch25, nmse_loss=-0.69949
epoch26, nmse_loss=-0.69960
epoch27, nmse_loss=-0.70009
epoch28, nmse_loss=-0.69947
epoch29, nmse_loss=-0.69987
epoch30, nmse_loss=-0.69883
epoch31, nmse_loss=-0.70077
epoch32, nmse_loss=-0.70022
epoch33, nmse_loss=-0.70027
epoch34, nmse_loss=-0.70158
epoch35, nmse_loss=-0.70184
epoch36, nmse_loss=-0.70154
epoch37, nmse_loss=-0.70301
epoch38, nmse_loss=-0.70369
epoch39, nmse_loss=-0.70386
epoch40, nmse_loss=-0.70415
epoch41, nmse_loss=-0.70479
epoch42, nmse_loss=-0.70526
epoch43, nmse_loss=-0.70553
epoch44, nmse_loss=-0.70580
epoch45, nmse_loss=-0.70553
epoch46, nmse_loss=-0.70620
epoch47, nmse_loss=-0.70634
epoch48, nmse_loss=-0.70653
epoch49, nmse_loss=-0.70661
epoch50, nmse_loss=-0.70667
