checkpoints, 0, epoch, 0001, loss, -2.2408, best_checkpoints, 0, epoch 0001, loss, -2.2408
checkpoints, 0, epoch, 0002, loss, -3.7999, best_checkpoints, 0, epoch 0002, loss, -3.7999
checkpoints, 0, epoch, 0003, loss, -6.7194, best_checkpoints, 0, epoch 0003, loss, -6.7194
checkpoints, 0, epoch, 0004, loss, -8.8518, best_checkpoints, 0, epoch 0004, loss, -8.8518
checkpoints, 0, epoch, 0005, loss, -10.7672, best_checkpoints, 0, epoch 0005, loss, -10.7672
checkpoints, 0, epoch, 0006, loss, -11.6525, best_checkpoints, 0, epoch 0006, loss, -11.6525
checkpoints, 0, epoch, 0008, loss, -11.7710, best_checkpoints, 0, epoch 0008, loss, -11.7710
checkpoints, 0, epoch, 0009, loss, -12.1625, best_checkpoints, 0, epoch 0009, loss, -12.1625
checkpoints, 0, epoch, 0010, loss, -13.1626, best_checkpoints, 0, epoch 0010, loss, -13.1626
checkpoints, 0, epoch, 0013, loss, -13.5896, best_checkpoints, 0, epoch 0013, loss, -13.5896
checkpoints, 0, epoch, 0019, loss, -14.0454, best_checkpoints, 0, epoch 0019, loss, -14.0454
checkpoints, 0, epoch, 0020, loss, -14.0826, best_checkpoints, 0, epoch 0020, loss, -14.0826
checkpoints, 0, epoch, 0021, loss, -14.1414, best_checkpoints, 0, epoch 0021, loss, -14.1414
checkpoints, 0, epoch, 0023, loss, -14.5989, best_checkpoints, 0, epoch 0023, loss, -14.5989
checkpoints, 0, epoch, 0025, loss, -14.8609, best_checkpoints, 0, epoch 0025, loss, -14.8609
checkpoints, 0, epoch, 0030, loss, -14.8839, best_checkpoints, 0, epoch 0030, loss, -14.8839
checkpoints, 0, epoch, 0034, loss, -15.3461, best_checkpoints, 0, epoch 0034, loss, -15.3461
checkpoints, 0, epoch, 0037, loss, -15.3778, best_checkpoints, 0, epoch 0037, loss, -15.3778
checkpoints, 0, epoch, 0053, loss, -15.5401, best_checkpoints, 0, epoch 0053, loss, -15.5401
checkpoints, 0, epoch, 0056, loss, -15.8773, best_checkpoints, 0, epoch 0056, loss, -15.8773
checkpoints, 0, epoch, 0071, loss, -15.9857, best_checkpoints, 0, epoch 0071, loss, -15.9857
checkpoints, 0, epoch, 0077, loss, -16.1742, best_checkpoints, 0, epoch 0077, loss, -16.1742
checkpoints, 0, epoch, 0085, loss, -16.1856, best_checkpoints, 0, epoch 0085, loss, -16.1856
checkpoints, 0, epoch, 0099, loss, -16.4349, best_checkpoints, 0, epoch 0099, loss, -16.4349
checkpoints, 0, epoch, 0117, loss, -16.6594, best_checkpoints, 0, epoch 0117, loss, -16.6594
checkpoints, 0, epoch, 0133, loss, -16.7292, best_checkpoints, 0, epoch 0133, loss, -16.7292
checkpoints, 0, epoch, 0147, loss, -16.7493, best_checkpoints, 0, epoch 0147, loss, -16.7493
checkpoints, 0, epoch, 0160, loss, -16.8176, best_checkpoints, 0, epoch 0160, loss, -16.8176
checkpoints, 0, epoch, 0161, loss, -16.8397, best_checkpoints, 0, epoch 0161, loss, -16.8397
