checkpoints, 0, epoch, 0001, loss, -3.1806, best_checkpoints, 0, epoch 0001, loss, -3.1806
checkpoints, 0, epoch, 0002, loss, -6.7098, best_checkpoints, 0, epoch 0002, loss, -6.7098
checkpoints, 0, epoch, 0003, loss, -7.6075, best_checkpoints, 0, epoch 0003, loss, -7.6075
checkpoints, 0, epoch, 0004, loss, -10.0578, best_checkpoints, 0, epoch 0004, loss, -10.0578
checkpoints, 0, epoch, 0005, loss, -11.7832, best_checkpoints, 0, epoch 0005, loss, -11.7832
checkpoints, 0, epoch, 0006, loss, -12.9496, best_checkpoints, 0, epoch 0006, loss, -12.9496
checkpoints, 0, epoch, 0007, loss, -14.1143, best_checkpoints, 0, epoch 0007, loss, -14.1143
checkpoints, 0, epoch, 0008, loss, -15.7215, best_checkpoints, 0, epoch 0008, loss, -15.7215
checkpoints, 0, epoch, 0009, loss, -16.2603, best_checkpoints, 0, epoch 0009, loss, -16.2603
checkpoints, 0, epoch, 0011, loss, -16.9642, best_checkpoints, 0, epoch 0011, loss, -16.9642
checkpoints, 0, epoch, 0015, loss, -17.1914, best_checkpoints, 0, epoch 0015, loss, -17.1914
checkpoints, 0, epoch, 0016, loss, -18.1418, best_checkpoints, 0, epoch 0016, loss, -18.1418
checkpoints, 0, epoch, 0018, loss, -18.5735, best_checkpoints, 0, epoch 0018, loss, -18.5735
checkpoints, 0, epoch, 0037, loss, -20.1053, best_checkpoints, 0, epoch 0037, loss, -20.1053
checkpoints, 0, epoch, 0042, loss, -21.1447, best_checkpoints, 0, epoch 0042, loss, -21.1447
checkpoints, 0, epoch, 0047, loss, -21.8654, best_checkpoints, 0, epoch 0047, loss, -21.8654
checkpoints, 0, epoch, 0049, loss, -23.2802, best_checkpoints, 0, epoch 0049, loss, -23.2802
