checkpoints, 0, epoch, 0001, loss, -1.6490, best_checkpoints, 0, epoch 0001, loss, -1.6490
checkpoints, 0, epoch, 0002, loss, -2.7890, best_checkpoints, 0, epoch 0002, loss, -2.7890
checkpoints, 0, epoch, 0003, loss, -3.4886, best_checkpoints, 0, epoch 0003, loss, -3.4886
checkpoints, 0, epoch, 0004, loss, -4.1463, best_checkpoints, 0, epoch 0004, loss, -4.1463
checkpoints, 0, epoch, 0005, loss, -4.8307, best_checkpoints, 0, epoch 0005, loss, -4.8307
checkpoints, 0, epoch, 0006, loss, -5.4183, best_checkpoints, 0, epoch 0006, loss, -5.4183
checkpoints, 0, epoch, 0007, loss, -5.8203, best_checkpoints, 0, epoch 0007, loss, -5.8203
checkpoints, 0, epoch, 0008, loss, -6.2465, best_checkpoints, 0, epoch 0008, loss, -6.2465
checkpoints, 0, epoch, 0009, loss, -6.4143, best_checkpoints, 0, epoch 0009, loss, -6.4143
checkpoints, 0, epoch, 0010, loss, -6.4281, best_checkpoints, 0, epoch 0010, loss, -6.4281
checkpoints, 0, epoch, 0011, loss, -6.4549, best_checkpoints, 0, epoch 0011, loss, -6.4549
checkpoints, 0, epoch, 0012, loss, -6.4639, best_checkpoints, 0, epoch 0012, loss, -6.4639
checkpoints, 0, epoch, 0013, loss, -6.4795, best_checkpoints, 0, epoch 0013, loss, -6.4795
checkpoints, 0, epoch, 0014, loss, -6.4874, best_checkpoints, 0, epoch 0014, loss, -6.4874
checkpoints, 0, epoch, 0021, loss, -6.5012, best_checkpoints, 0, epoch 0021, loss, -6.5012
checkpoints, 0, epoch, 0029, loss, -6.5046, best_checkpoints, 0, epoch 0029, loss, -6.5046
checkpoints, 0, epoch, 0030, loss, -6.5105, best_checkpoints, 0, epoch 0030, loss, -6.5105
checkpoints, 0, epoch, 0044, loss, -6.5247, best_checkpoints, 0, epoch 0044, loss, -6.5247
checkpoints, 0, epoch, 0045, loss, -6.5337, best_checkpoints, 0, epoch 0045, loss, -6.5337
checkpoints, 0, epoch, 0053, loss, -6.6780, best_checkpoints, 0, epoch 0053, loss, -6.6780
checkpoints, 0, epoch, 0054, loss, -6.6891, best_checkpoints, 0, epoch 0054, loss, -6.6891
checkpoints, 0, epoch, 0056, loss, -6.7773, best_checkpoints, 0, epoch 0056, loss, -6.7773
checkpoints, 0, epoch, 0057, loss, -6.8028, best_checkpoints, 0, epoch 0057, loss, -6.8028
checkpoints, 0, epoch, 0060, loss, -6.8804, best_checkpoints, 0, epoch 0060, loss, -6.8804
checkpoints, 0, epoch, 0061, loss, -6.9638, best_checkpoints, 0, epoch 0061, loss, -6.9638
checkpoints, 0, epoch, 0062, loss, -7.0184, best_checkpoints, 0, epoch 0062, loss, -7.0184
checkpoints, 0, epoch, 0063, loss, -7.0463, best_checkpoints, 0, epoch 0063, loss, -7.0463
checkpoints, 0, epoch, 0064, loss, -7.1280, best_checkpoints, 0, epoch 0064, loss, -7.1280
checkpoints, 0, epoch, 0066, loss, -7.1866, best_checkpoints, 0, epoch 0066, loss, -7.1866
checkpoints, 0, epoch, 0069, loss, -7.3772, best_checkpoints, 0, epoch 0069, loss, -7.3772
checkpoints, 0, epoch, 0072, loss, -7.7859, best_checkpoints, 0, epoch 0072, loss, -7.7859
checkpoints, 0, epoch, 0074, loss, -7.8775, best_checkpoints, 0, epoch 0074, loss, -7.8775
checkpoints, 0, epoch, 0076, loss, -8.0604, best_checkpoints, 0, epoch 0076, loss, -8.0604
checkpoints, 0, epoch, 0080, loss, -8.1751, best_checkpoints, 0, epoch 0080, loss, -8.1751
checkpoints, 0, epoch, 0083, loss, -8.2474, best_checkpoints, 0, epoch 0083, loss, -8.2474
checkpoints, 0, epoch, 0086, loss, -8.2840, best_checkpoints, 0, epoch 0086, loss, -8.2840
checkpoints, 0, epoch, 0088, loss, -8.3024, best_checkpoints, 0, epoch 0088, loss, -8.3024
checkpoints, 0, epoch, 0090, loss, -8.3207, best_checkpoints, 0, epoch 0090, loss, -8.3207
checkpoints, 0, epoch, 0100, loss, -8.3439, best_checkpoints, 0, epoch 0100, loss, -8.3439
checkpoints, 0, epoch, 0103, loss, -8.4478, best_checkpoints, 0, epoch 0103, loss, -8.4478
checkpoints, 0, epoch, 0105, loss, -8.4973, best_checkpoints, 0, epoch 0105, loss, -8.4973
checkpoints, 0, epoch, 0112, loss, -8.5463, best_checkpoints, 0, epoch 0112, loss, -8.5463
checkpoints, 0, epoch, 0117, loss, -8.5551, best_checkpoints, 0, epoch 0117, loss, -8.5551
checkpoints, 0, epoch, 0119, loss, -8.5657, best_checkpoints, 0, epoch 0119, loss, -8.5657
checkpoints, 0, epoch, 0120, loss, -8.5992, best_checkpoints, 0, epoch 0120, loss, -8.5992
checkpoints, 0, epoch, 0123, loss, -8.6068, best_checkpoints, 0, epoch 0123, loss, -8.6068
checkpoints, 0, epoch, 0134, loss, -8.6321, best_checkpoints, 0, epoch 0134, loss, -8.6321
checkpoints, 0, epoch, 0137, loss, -8.6626, best_checkpoints, 0, epoch 0137, loss, -8.6626
checkpoints, 0, epoch, 0138, loss, -8.6666, best_checkpoints, 0, epoch 0138, loss, -8.6666
checkpoints, 0, epoch, 0142, loss, -8.6668, best_checkpoints, 0, epoch 0142, loss, -8.6668
