checkpoints, 0, epoch, 0001, loss, -4.2440, best_checkpoints, 0, epoch 0001, loss, -4.2440
checkpoints, 0, epoch, 0002, loss, -6.0580, best_checkpoints, 0, epoch 0002, loss, -6.0580
checkpoints, 0, epoch, 0003, loss, -7.7686, best_checkpoints, 0, epoch 0003, loss, -7.7686
checkpoints, 0, epoch, 0004, loss, -9.4179, best_checkpoints, 0, epoch 0004, loss, -9.4179
checkpoints, 0, epoch, 0005, loss, -11.2479, best_checkpoints, 0, epoch 0005, loss, -11.2479
checkpoints, 0, epoch, 0006, loss, -13.1544, best_checkpoints, 0, epoch 0006, loss, -13.1544
checkpoints, 0, epoch, 0007, loss, -14.7997, best_checkpoints, 0, epoch 0007, loss, -14.7997
checkpoints, 0, epoch, 0008, loss, -16.3049, best_checkpoints, 0, epoch 0008, loss, -16.3049
checkpoints, 0, epoch, 0009, loss, -18.3126, best_checkpoints, 0, epoch 0009, loss, -18.3126
checkpoints, 0, epoch, 0010, loss, -19.6413, best_checkpoints, 0, epoch 0010, loss, -19.6413
checkpoints, 0, epoch, 0011, loss, -20.7056, best_checkpoints, 0, epoch 0011, loss, -20.7056
checkpoints, 0, epoch, 0013, loss, -22.6580, best_checkpoints, 0, epoch 0013, loss, -22.6580
checkpoints, 0, epoch, 0014, loss, -22.9548, best_checkpoints, 0, epoch 0014, loss, -22.9548
checkpoints, 0, epoch, 0016, loss, -22.9647, best_checkpoints, 0, epoch 0016, loss, -22.9647
checkpoints, 0, epoch, 0017, loss, -23.7935, best_checkpoints, 0, epoch 0017, loss, -23.7935
checkpoints, 0, epoch, 0018, loss, -24.3907, best_checkpoints, 0, epoch 0018, loss, -24.3907
checkpoints, 0, epoch, 0019, loss, -24.8649, best_checkpoints, 0, epoch 0019, loss, -24.8649
checkpoints, 0, epoch, 0020, loss, -24.9572, best_checkpoints, 0, epoch 0020, loss, -24.9572
checkpoints, 0, epoch, 0021, loss, -25.2492, best_checkpoints, 0, epoch 0021, loss, -25.2492
checkpoints, 0, epoch, 0028, loss, -25.7223, best_checkpoints, 0, epoch 0028, loss, -25.7223
checkpoints, 0, epoch, 0029, loss, -25.7783, best_checkpoints, 0, epoch 0029, loss, -25.7783
checkpoints, 0, epoch, 0033, loss, -27.1294, best_checkpoints, 0, epoch 0033, loss, -27.1294
checkpoints, 0, epoch, 0036, loss, -28.0653, best_checkpoints, 0, epoch 0036, loss, -28.0653
checkpoints, 0, epoch, 0037, loss, -28.3057, best_checkpoints, 0, epoch 0037, loss, -28.3057
checkpoints, 0, epoch, 0042, loss, -29.0945, best_checkpoints, 0, epoch 0042, loss, -29.0945
checkpoints, 0, epoch, 0046, loss, -29.7818, best_checkpoints, 0, epoch 0046, loss, -29.7818
checkpoints, 0, epoch, 0047, loss, -30.0794, best_checkpoints, 0, epoch 0047, loss, -30.0794
checkpoints, 0, epoch, 0049, loss, -30.3632, best_checkpoints, 0, epoch 0049, loss, -30.3632
checkpoints, 0, epoch, 0050, loss, -30.3932, best_checkpoints, 0, epoch 0050, loss, -30.3932
