checkpoints, 0, epoch, 0001, loss, -0.3180, best_checkpoints, 0, epoch 0001, loss, -0.3180
checkpoints, 0, epoch, 0002, loss, -0.4151, best_checkpoints, 0, epoch 0002, loss, -0.4151
checkpoints, 0, epoch, 0003, loss, -0.4852, best_checkpoints, 0, epoch 0003, loss, -0.4852
checkpoints, 0, epoch, 0004, loss, -0.5339, best_checkpoints, 0, epoch 0004, loss, -0.5339
checkpoints, 0, epoch, 0005, loss, -0.5675, best_checkpoints, 0, epoch 0005, loss, -0.5675
checkpoints, 0, epoch, 0006, loss, -0.6006, best_checkpoints, 0, epoch 0006, loss, -0.6006
checkpoints, 0, epoch, 0007, loss, -0.6191, best_checkpoints, 0, epoch 0007, loss, -0.6191
checkpoints, 0, epoch, 0008, loss, -0.6428, best_checkpoints, 0, epoch 0008, loss, -0.6428
checkpoints, 0, epoch, 0009, loss, -0.6577, best_checkpoints, 0, epoch 0009, loss, -0.6577
checkpoints, 0, epoch, 0010, loss, -0.6690, best_checkpoints, 0, epoch 0010, loss, -0.6690
checkpoints, 0, epoch, 0011, loss, -0.6778, best_checkpoints, 0, epoch 0011, loss, -0.6778
checkpoints, 0, epoch, 0012, loss, -0.6836, best_checkpoints, 0, epoch 0012, loss, -0.6836
checkpoints, 0, epoch, 0013, loss, -0.6884, best_checkpoints, 0, epoch 0013, loss, -0.6884
checkpoints, 0, epoch, 0014, loss, -0.6917, best_checkpoints, 0, epoch 0014, loss, -0.6917
checkpoints, 0, epoch, 0015, loss, -0.6924, best_checkpoints, 0, epoch 0015, loss, -0.6924
checkpoints, 0, epoch, 0016, loss, -0.6958, best_checkpoints, 0, epoch 0016, loss, -0.6958
checkpoints, 0, epoch, 0017, loss, -0.6969, best_checkpoints, 0, epoch 0017, loss, -0.6969
checkpoints, 0, epoch, 0018, loss, -0.6979, best_checkpoints, 0, epoch 0018, loss, -0.6979
checkpoints, 0, epoch, 0019, loss, -0.6982, best_checkpoints, 0, epoch 0019, loss, -0.6982
checkpoints, 0, epoch, 0021, loss, -0.6988, best_checkpoints, 0, epoch 0021, loss, -0.6988
checkpoints, 0, epoch, 0023, loss, -0.6998, best_checkpoints, 0, epoch 0023, loss, -0.6998
checkpoints, 0, epoch, 0027, loss, -0.7001, best_checkpoints, 0, epoch 0027, loss, -0.7001
checkpoints, 0, epoch, 0031, loss, -0.7008, best_checkpoints, 0, epoch 0031, loss, -0.7008
checkpoints, 0, epoch, 0034, loss, -0.7016, best_checkpoints, 0, epoch 0034, loss, -0.7016
checkpoints, 0, epoch, 0035, loss, -0.7018, best_checkpoints, 0, epoch 0035, loss, -0.7018
checkpoints, 0, epoch, 0037, loss, -0.7030, best_checkpoints, 0, epoch 0037, loss, -0.7030
checkpoints, 0, epoch, 0038, loss, -0.7037, best_checkpoints, 0, epoch 0038, loss, -0.7037
checkpoints, 0, epoch, 0039, loss, -0.7039, best_checkpoints, 0, epoch 0039, loss, -0.7039
checkpoints, 0, epoch, 0040, loss, -0.7041, best_checkpoints, 0, epoch 0040, loss, -0.7041
checkpoints, 0, epoch, 0041, loss, -0.7048, best_checkpoints, 0, epoch 0041, loss, -0.7048
checkpoints, 0, epoch, 0042, loss, -0.7053, best_checkpoints, 0, epoch 0042, loss, -0.7053
checkpoints, 0, epoch, 0043, loss, -0.7055, best_checkpoints, 0, epoch 0043, loss, -0.7055
checkpoints, 0, epoch, 0044, loss, -0.7058, best_checkpoints, 0, epoch 0044, loss, -0.7058
checkpoints, 0, epoch, 0046, loss, -0.7062, best_checkpoints, 0, epoch 0046, loss, -0.7062
checkpoints, 0, epoch, 0047, loss, -0.7063, best_checkpoints, 0, epoch 0047, loss, -0.7063
checkpoints, 0, epoch, 0048, loss, -0.7065, best_checkpoints, 0, epoch 0048, loss, -0.7065
checkpoints, 0, epoch, 0049, loss, -0.7066, best_checkpoints, 0, epoch 0049, loss, -0.7066
checkpoints, 0, epoch, 0050, loss, -0.7067, best_checkpoints, 0, epoch 0050, loss, -0.7067
